ID,KEY,VALUE
20,"IP Address
(Management iDRAC, iLO)",-
20,Operating System,-
20,Service Pack,-
20,Database Vsersion,-
20,Service patch,-
20,เลขที่สัญญา,1470011604/2567 
20,Delivery Date,2018-03-01 00:00:00
20,MA Status,Expired
20,MA Start Date,2023-10-01 00:00:00
20,MA Expired Date,2024-09-30 00:00:00
20,Vender,IplusInfotech
20,ประเภทการรับประกัน,24x7
20,Owner,ภูมินทร์
20,Type of Asset,Hardware
20, ISO Scope,Implement & Certified
20,System Doc,-
20,HealthCheck,-
20,Allow port firewall Server,-
20,Deploy App,
21,CI Name,A10-2
21,Primary Capability,Loadbalance
21,Group (ห้ามแก้),ระบบโรงพยาบาล - eHIS
21,System (ห้ามแก้),ระบบ Front Office : eHIS
21,System Detail,ระบบ Front Office : eHIS - Report Server&Application Server&WebAPI
21,Server Type (ห้ามแก้),
21,"Environment(Production, UAT, Testing/Development, Not Used,..)",Production
21,SAP ID,131100036353
21,รหัสครุภัณฑ์,11060000-S-74400030005/61
21,Serial Number,TH10A73215271184
21,Organization,Siriraj
21,"Status
(Active / Inactive)",Active
21,Product Name,A10
21,Model/Version,Thunder 930
21,DC Room - Building,ตึกศรีสวรินทิรา
21,Floor,7
21,Rack Number,E04
21,Unit,38
21,Is Virtual?,N
21,VM Cluster Group,-
21,"IP Address
(Primary)",172.29.10.214
21,"IP Address
(BAK)",-
21,"IP Address
(Management iDRAC, iLO)",-
21,Operating System,-
21,Service Pack,-
21,Database Vsersion,-
21,Service patch,-
21,เลขที่สัญญา,1470012043/2568
21,Delivery Date,2018-03-01 00:00:00
21,MA Status,Expanded MA
21,MA Start Date,2024-10-01 00:00:00
21,MA Expired Date,2025-09-30 00:00:00
21,Vender,IplusInfotech
21,ประเภทการรับประกัน,24x7
21,Owner,ภูมินทร์
21,Type of Asset,Hardware
21, ISO Scope,Implement & Certified
21,System Doc,-
21,HealthCheck,-
21,Allow port firewall Server,-
21,Deploy App,
22,CI Name,Cisco SG300-28PP
22,Primary Capability,Switch
22,Group (ห้ามแก้),ระบบโรงพยาบาล - รังสี (X - ray)
22,System (ห้ามแก้),ระบบ PACs ภาควิชารังสีฯ
22,System Detail,ระบบ PACs ภาควิชารังสีฯ
22,Server Type (ห้ามแก้),
22,"Environment(Production, UAT, Testing/Development, Not Used,..)",Not Used
22,SAP ID,131100018017
22,รหัสครุภัณฑ์,11060000-I-74400010013/54
22,Serial Number,DN191907RJ
22,Organization,Siriraj
22,"Status
(Active / Inactive)",Active
22,Product Name,Cisco
22,Model/Version,Cisco SG300-28PP
22,DC Room - Building,ตึกศรีสวรินทิรา
22,Floor,7
22,Rack Number,F05
22,Unit,33
22,Is Virtual?,N
22,VM Cluster Group,-
22,"IP Address
(Primary)",-
22,"IP Address
(BAK)",-
22,"IP Address
(Management iDRAC, iLO)",-
22,Operating System,-
22,Service Pack,-
22,Database Vsersion,-
22,Service patch,-
22,เลขที่สัญญา,-
22,Delivery Date,-
22,MA Status,Expired
22,MA Start Date,-
22,MA Expired Date,-
22,Vender,-
22,ประเภทการรับประกัน,-
22,Owner,พงษ์ศักดิ์ พลเทพ
22,Type of Asset,Hardware
22, ISO Scope,No
22,System Doc,-
22,HealthCheck,-
22,Allow port firewall Server,-
22,Deploy App,
23,CI Name,D6CFZN1S
23,Primary Capability,VM
23,Group (ห้ามแก้),ระบบสนับสนุน - Service Request
23,System (ห้ามแก้),ระบบซ่อมบำรุง
23,System Detail,ระบบซ่อมบำรุง
23,Server Type (ห้ามแก้),
23,"Environment(Production, UAT, Testing/Development, Not Used,..)",Production
23,SAP ID,-
23,รหัสครุภัณฑ์,-
23,Serial Number,-
23,Organization,Siriraj
23,"Status
(Active / Inactive)",Active
